"","L","R"
"842","Sct","Sctr"
"843","Sct","Adcyap1r1"
"844","Sct","Vipr2"
"845","Sct","Vipr1"
"846","Vip","Sctr"
"847","Vip","Adcyap1r1"
"848","Vip","Vipr2"
"849","Vip","Vipr1"
"850","Adcyap1","Adcyap1r1"
"851","Adcyap1","Vipr2"
"852","Adcyap1","Vipr1"
"853","Ghrh","Vipr1"
"854","Wnt4","Fzd6"
"855","Wnt5a","Fzd6"
"856","Wnt3a","Fzd6"
"857","A2m","Lrp1"
"858","Aanat","Mtnr1a"
"859","Aanat","Mtnr1b"
"860","Adam12","Itga9"
"861","Adam12","Itgb1"
"862","Adam12","Sdc4"
"863","Adam15","Itga5"
"864","Adam15","Itga9"
"865","Adam15","Itgb1"
"866","Adam15","Itgb3"
"867","Adam17","Itga5"
"868","Adam17","Itgb1"
"869","Adam23","Itga5"
"870","Adam23","Itgb3"
"871","Adam2","Itga6"
"872","Adam2","Itgb1"
"873","Adam9","Itga6"
"874","Adam9","Itgav"
"875","Adam9","Itgb1"
"876","Adam9","Itgb5"
"877","Adipoq","Adipor1"
"878","Adipoq","Adipor2"
"879","Adm2","Calcrl"
"880","Adm2","Ramp1"
"881","Adm","Calcrl"
"882","Adm","Ramp2"
"883","Agrn","Musk"
"884","Agt","Lrp2"
"885","Angpt1","Tie1"
"886","Angpt2","Tek"
"887","Angptl1","Tek"
"888","Apob","Ldlr"
"889","Apoe","Ldlr"
"890","Apoe","Lrp5"
"891","Apoe","Lrp8"
"892","Apoe","Sorl1"
"893","Apoe","Vldlr"
"894","Artn","Gfra3"
"895","Artn","Ret"
"896","a","Atrn"
"897","a","Mgrn1"
"898","Bdnf","Ntrk2"
"899","Bmp10","Acvr1"
"900","Bmp10","Acvr2a"
"901","Bmp10","Acvr2b"
"902","Bmp10","Acvrl1"
"903","Bmp10","Bmpr1a"
"904","Bmp10","Bmpr1b"
"905","Bmp10","Bmpr2"
"906","Bmp15","Acvr1"
"907","Bmp15","Acvr2a"
"908","Bmp15","Acvr2b"
"909","Bmp15","Bmpr1a"
"910","Bmp15","Bmpr1b"
"911","Bmp15","Bmpr2"
"912","Bmp2","Acvr2a"
"913","Bmp2","Acvr2b"
"914","Bmp3","Acvr1"
